id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location,:@computed_region_awaf_s7ux,:@computed_region_6mkv_f3dw,:@computed_region_vrxf_vc4k,:@computed_region_bdys_3d7i,:@computed_region_43wa_7qmu,:@computed_region_rpca_8um6,:@computed_region_d9mm_jgwp,:@computed_region_d3ds_rm58,:@computed_region_8hcu_yrd4
13844730,JJ265810,2025-05-22T17:00:00.000,022XX E 71ST ST,0610,BURGLARY,FORCIBLE ENTRY,COMMERCIAL / BUSINESS OFFICE,False,False,0333,003,5,43,05,1192354,1858292,2025,2025-05-30T15:43:19.000,41.766131694,-87.570507393,"{'latitude': '41.766131694', 'longitude': '-87.570507393', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",32,22538,39,453,33,24,18,89,3
13850061,JJ272441,2025-05-22T17:00:00.000,046XX S WOLCOTT AVE,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,APARTMENT,False,False,0924,009,15,61,11,1164464,1873977,2025,2025-05-30T15:43:19.000,41.809806598,-87.672291878,"{'latitude': '41.809806598', 'longitude': '-87.672291878', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",53,14924,59,706,3,37,23,108,15
13844444,JJ265472,2025-05-22T17:00:00.000,024XX S STATE ST,0820,THEFT,$500 AND UNDER,APARTMENT,False,False,0131,001,3,33,06,1176701,1888182,2025,2025-05-30T15:43:19.000,41.848519218,-87.626980235,"{'latitude': '41.848519218', 'longitude': '-87.626980235', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",12,21194,34,193,9,40,22,94,8
13844091,JJ265224,2025-05-22T17:00:00.000,049XX N HARDING AVE,0281,CRIMINAL SEXUAL ASSAULT,NON-AGGRAVATED,RESIDENCE,False,True,1712,017,39,14,02,1149160,1932705,2025,2025-05-30T15:43:19.000,41.971271833,-87.726902798,"{'latitude': '41.971271833', 'longitude': '-87.726902798', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",28,21849,14,127,38,20,1,48,39
13844322,JJ265182,2025-05-22T17:00:00.000,045XX W BELMONT AVE,0460,BATTERY,SIMPLE,SCHOOL - PUBLIC GROUNDS,False,False,1731,017,30,16,08B,1145319,1920882,2025,2025-05-30T15:43:19.000,41.938902278,-87.741327058,"{'latitude': '41.938902278', 'longitude': '-87.741327058', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",7,22618,21,411,17,21,6,176,31
13846660,JJ268346,2025-05-22T17:00:00.000,025XX S OAKLEY AVE,0920,MOTOR VEHICLE THEFT,ATTEMPT - AUTOMOBILE,STREET,False,False,1034,010,25,31,07,1161435,1887281,2025,2025-05-30T15:43:19.000,41.846377684,-87.683032458,"{'latitude': '41.846377684', 'longitude': '-87.683032458', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",8,14920,33,204,26,43,21,159,25
13844579,JJ265731,2025-05-22T17:00:00.000,013XX W TAYLOR ST,0760,BURGLARY,BURGLARY FROM MOTOR VEHICLE,STREET,False,False,1231,012,28,28,06,1167450,1895700,2025,2025-05-30T15:43:19.000,41.869353046,-87.660715723,"{'latitude': '41.869353046', 'longitude': '-87.660715723', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",48,14917,29,759,23,44,15,136,28
13844308,JJ265225,2025-05-22T16:58:00.000,086XX S KILBOURN AVE,0470,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,SIDEWALK,False,False,0834,008,18,70,24,1147934,1846966,2025,2025-05-30T15:43:19.000,41.736016826,-87.733612928,"{'latitude': '41.736016826', 'longitude': '-87.733612928', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",6,4300,69,197,30,8,13,232,18
13848127,JJ269203,2025-05-22T16:58:00.000,006XX N LA SALLE DR,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,False,False,1832,018,42,8,06,1175023,1904549,2025,2025-05-30T15:43:19.000,41.893469034,-87.632648229,"{'latitude': '41.893469034', 'longitude': '-87.632648229', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",22,4446,37,670,36,55,14,72,42
13844321,JJ265201,2025-05-22T16:57:00.000,013XX S MORGAN ST,1320,CRIMINAL DAMAGE,TO VEHICLE,CHA PARKING LOT / GROUNDS,False,True,1232,012,28,28,14,1170123,1893829,2025,2025-05-30T15:43:19.000,41.864160985,-87.650957088,"{'latitude': '41.864160985', 'longitude': '-87.650957088', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",8,14920,29,760,48,43,15,95,28
13844191,JJ265153,2025-05-22T16:48:00.000,032XX W CERMAK RD,0454,BATTERY,"AGGRAVATED P.O. - HANDS, FISTS, FEET, NO / MINOR INJURY",GAS STATION,True,False,1022,010,24,30,08B,1155271,1889197,2025,2025-05-30T15:43:19.000,41.851761264,-87.705602716,"{'latitude': '41.851761264', 'longitude': '-87.705602716', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",36,21569,32,201,14,57,21,152,24
13844158,JJ265260,2025-05-22T16:45:00.000,049XX S VINCENNES AVE,1330,CRIMINAL TRESPASS,TO LAND,RESIDENCE - PORCH / HALLWAY,False,False,0223,002,20,38,26,1180406,1872398,2025,2025-05-30T15:43:19.000,41.805122317,-87.61386791,"{'latitude': '41.805122317', 'longitude': '-87.61386791', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,21192,4,394,10,10,24,116,20
13844931,JJ266241,2025-05-22T16:45:00.000,005XX N WABASH AVE,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,SIDEWALK,False,False,1834,018,42,8,11,1176650,1903695,2025,2025-05-30T15:43:19.000,41.891088999,-87.626698731,"{'latitude': '41.891088999', 'longitude': '-87.626698731', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",22,21182,37,626,36,6,14,74,42
13844358,JJ265136,2025-05-22T16:40:00.000,011XX S CANAL ST,031B,ROBBERY,ARMED - OTHER FIREARM,STREET,False,False,0124,001,28,28,03,1173303,1895451,2025,2025-05-30T15:43:19.000,41.868541914,-87.639235361,"{'latitude': '41.868541914', 'longitude': '-87.639235361', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",48,14917,29,97,26,44,22,147,28
13844775,JJ266020,2025-05-22T16:40:00.000,020XX W OGDEN AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,1225,012,28,28,14,1162843,1896543,2025,2025-05-30T15:43:19.000,41.871764127,-87.677605569,"{'latitude': '41.871764127', 'longitude': '-87.677605569', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",8,21184,29,5,46,28,15,139,28
13844041,JJ265137,2025-05-22T16:40:00.000,011XX W 31ST ST,0460,BATTERY,SIMPLE,RESTAURANT,True,False,0913,009,11,60,08B,1169325,1884267,2025,2025-05-30T15:43:19.000,41.837939398,-87.654164127,"{'latitude': '41.837939398', 'longitude': '-87.654164127', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",26,14920,58,676,48,43,23,162,7
